Name,Branch,Field of Interest,Domain of Interest,Languages Known,Frameworks Used,Tools Experience,Technologies to Learn,Project Duration,Open-Source Contribution,Achievements
Matthew Rivers,Electronics and Communication,"['reinforcement learning', 'natural language processing', 'algorithms']","['blockchain', 'game development', 'IoT']","['C#', 'C++', 'Shell Scripting']","['Ruby on Rails', 'NestJS']","['Azure', 'Git', 'MySQL']",['Docker'],2 months,Contributed to XYZ project,No achievements
Matthew Gray,Civil Engineering,"['game development', 'embedded systems', 'edge computing']",['data science and analytics'],"['Ruby', 'Dart', 'MATLAB', 'JavaScript', 'Shell Scripting']",['Ruby on Rails'],"['MySQL', 'Docker', 'Redis']",['MySQL'],1 month,Contributed to XYZ project,No achievements
Cody Young,Civil Engineering,"['reinforcement learning', 'game development']","['blockchain', 'bioinformatics', 'quantum computing']","['C', 'Rust', 'Python', 'Objective-C', 'C#']","['Laravel', 'Flutter', 'Vue.js', 'Express.js']","['GitHub', 'Keras']","['TensorFlow', 'GitHub', 'TensorFlow', 'Google Cloud']",1 month,Contributed to XYZ project,No achievements
Carolyn Ryan,Civil Engineering,"['software engineering', 'game development']","['data science and analytics', 'artificial intelligence and machine learning', 'bioinformatics']","['Dart', 'Swift', 'Java']",['Spring Boot'],['Elasticsearch'],"['MongoDB', 'GitHub', 'GitLab']",2 months,No open-source contribution,No achievements
Rebecca Bishop,Biotechnology,"['IoT', 'game development', 'reinforcement learning']",['human-computer interaction'],"['SQL', 'Lua', 'JavaScript']","['Meteor', 'React Native', 'NestJS']",['Docker'],"['Redis', 'Google Cloud']",1 week,No open-source contribution,No achievements
Elizabeth Bradford,Civil Engineering,"['deep learning', 'machine learning']","['game development', 'bioinformatics']","['PHP', 'Java', 'Rust', 'Objective-C', 'TypeScript']","['Next.js', 'Laravel']","['Jenkins', 'Ansible', 'Keras', 'PostgreSQL']","['Redis', 'Docker']",2 months,No open-source contribution,No achievements
Eric Fox,Civil Engineering,"['system architecture', 'quantum computing', 'ethical hacking']","['human-computer interaction', 'web and mobile development']","['Python', 'C#', 'Dart', 'JavaScript', 'TypeScript']","['Spring Boot', 'Express.js']","['PyTorch', 'Keras', 'Elasticsearch']",['GitLab'],1 month,Contributed to XYZ project,No achievements
Jill Parker,Biotechnology,"['AR/VR', 'system architecture']","['robotics', 'bioinformatics']","['C++', 'R']","['React Native', 'Meteor', 'Next.js']","['GitLab', 'Elasticsearch']","['AWS', 'TensorFlow', 'GitLab']",1 month,No open-source contribution,No achievements
David Stokes,Mechanical Engineering,"['data visualization', 'IoT']","['IoT', 'quantum computing']","['Ruby', 'R', 'JavaScript', 'TypeScript', 'C#']","['Svelte', 'Ember.js']","['MongoDB', 'GitLab', 'Keras']","['GitLab', 'Git', 'TensorFlow', 'TensorFlow']",2 months,No open-source contribution,No achievements
Allison King,Electronics and Communication,['artificial intelligence'],"['data science and analytics', 'human-computer interaction', 'IoT']","['TypeScript', 'Dart']","['Ruby on Rails', 'React', 'Ember.js', 'Ionic']","['Git', 'Azure', 'Ansible']","['AWS', 'Redis']",2 months,No open-source contribution,Awarded XYZ in Electronics and Communication
Katie Mcneil,Mechanical Engineering,['IoT'],"['blockchain', 'game development']","['R', 'PHP', 'Scala', 'Lua']","['Ruby on Rails', 'React Native']","['Keras', 'PyTorch', 'Git', 'Jenkins']","['PyTorch', 'PostgreSQL']",1 month,No open-source contribution,No achievements
David Miller,Mechanical Engineering,['mobile app development'],"['game development', 'cybersecurity', 'quantum computing']","['Go', 'Shell Scripting', 'Rust', 'Python']","['Express.js', 'Ember.js', 'Laravel', 'Spring Boot']","['AWS', 'PostgreSQL', 'Azure']","['Git', 'MongoDB', 'GitHub', 'Jenkins']",1 week,Contributed to XYZ project,No achievements
Jeremy Cook,Electronics and Communication,['reinforcement learning'],"['blockchain', 'artificial intelligence and machine learning']","['MATLAB', 'PHP', 'R', 'Go', 'Objective-C']",['Laravel'],"['Google Cloud', 'Azure', 'GitLab']",['Jenkins'],1 week,No open-source contribution,Awarded XYZ in Electronics and Communication
Jessica Perry,Electronics and Communication,"['mobile app development', 'DevOps', 'ethical hacking']",['quantum computing'],"['SQL', 'C#', 'Rust', 'Shell Scripting', 'Lua']","['Flask', 'Laravel', 'Ember.js', 'Next.js']","['Git', 'Kubernetes', 'Google Cloud']","['Redis', 'Docker', 'PyTorch', 'Git']",1 week,Contributed to XYZ project,No achievements
Lori Williams,Civil Engineering,"['computational biology', 'software engineering']","['bioinformatics', 'blockchain', 'game development']","['Dart', 'Scala', 'C', 'R']","['Meteor', 'Vue.js', 'NestJS', 'Laravel']","['GitLab', 'Docker', 'Ansible', 'GitHub']","['MongoDB', 'Azure']",2 months,No open-source contribution,No achievements
Elizabeth Mathis,Electronics and Communication,['computer architecture'],"['human-computer interaction', 'web and mobile development', 'blockchain']","['TypeScript', 'Go']","['Laravel', 'Django']","['Jenkins', 'PostgreSQL']","['Docker', 'AWS', 'PyTorch']",1 month,No open-source contribution,Awarded XYZ in Electronics and Communication
William Cox,Information Technology,"['bioinformatics', 'autonomous systems', 'DevOps']","['web and mobile development', 'quantum computing', 'cybersecurity']",['Objective-C'],"['Meteor', 'Flask', 'Ember.js']","['Git', 'TensorFlow', 'MongoDB']","['Google Cloud', 'Redis', 'Ansible', 'PostgreSQL']",1 month,Contributed to XYZ project,No achievements
Michael Morton,Civil Engineering,"['blockchain', 'system architecture', 'edge computing']","['artificial intelligence and machine learning', 'IoT', 'quantum computing']","['TypeScript', 'Dart', 'Kotlin', 'SQL']","['Spring Boot', 'Angular', 'Ruby on Rails', 'Next.js']","['PostgreSQL', 'Docker', 'AWS']","['Google Cloud', 'MySQL', 'Ansible']",2 months,Contributed to XYZ project,No achievements
Mrs. Lindsey Brandt,Mechanical Engineering,"['distributed systems', 'IoT']","['bioinformatics', 'quantum computing']",['C'],['Meteor'],['Jenkins'],"['Ansible', 'Elasticsearch', 'PyTorch', 'Git']",2 months,No open-source contribution,No achievements
Michele Butler,Mechanical Engineering,['mobile app development'],"['artificial intelligence and machine learning', 'cybersecurity', 'bioinformatics']","['Objective-C', 'SQL', 'Python', 'Go']","['Vue.js', 'NestJS']",['Elasticsearch'],"['Kubernetes', 'Google Cloud']",1 week,No open-source contribution,No achievements
Kristine Castro,Electronics and Communication,"['deep learning', 'computer vision', 'artificial intelligence']","['human-computer interaction', 'blockchain']","['Scala', 'JavaScript', 'Kotlin']","['Express.js', 'Ruby on Rails', 'Svelte']",['GitLab'],"['Elasticsearch', 'TensorFlow', 'PostgreSQL']",1 week,No open-source contribution,No achievements
Patricia Nguyen,Mechanical Engineering,"['data engineering', 'game development']","['game development', 'blockchain']",['Objective-C'],"['Angular', 'Ionic', 'Express.js', 'NestJS']","['GitHub', 'MySQL', 'Ansible', 'Google Cloud']","['Git', 'AWS', 'TensorFlow', 'TensorFlow']",1 month,Contributed to XYZ project,No achievements
Troy Adams,Information Technology,['IoT'],"['web and mobile development', 'blockchain', 'artificial intelligence and machine learning']","['Scala', 'Python']","['Spring Boot', 'Angular', 'Ember.js', 'Express.js']","['PyTorch', 'Azure', 'Kubernetes']",['TensorFlow'],1 week,Contributed to XYZ project,Awarded XYZ in Information Technology
Jaime Briggs,Mechanical Engineering,"['computational biology', 'generative AI']",['quantum computing'],['C'],"['Angular', 'Flutter', 'Django']","['TensorFlow', 'Elasticsearch', 'PostgreSQL']","['PyTorch', 'Ansible', 'TensorFlow', 'AWS']",2 months,Contributed to XYZ project,Awarded XYZ in Mechanical Engineering
Mr. John Harrell Jr.,Computer Science,"['embedded systems', 'DevOps']","['blockchain', 'artificial intelligence and machine learning']","['SQL', 'Scala', 'JavaScript']","['Ionic', 'Svelte']","['Google Cloud', 'TensorFlow']","['GitHub', 'MongoDB', 'Ansible']",1 month,No open-source contribution,No achievements
Cameron Ortiz,Civil Engineering,"['game development', 'embedded systems']","['data science and analytics', 'blockchain', 'artificial intelligence and machine learning']","['Go', 'PHP', 'R', 'Swift']","['Ionic', 'Ruby on Rails']","['Docker', 'PostgreSQL']","['Ansible', 'TensorFlow', 'TensorFlow']",1 week,Contributed to XYZ project,No achievements
Megan Lucas,Electronics and Communication,['business intelligence'],['artificial intelligence and machine learning'],['Objective-C'],['Angular'],['PyTorch'],['TensorFlow'],1 week,No open-source contribution,No achievements
Heather Powell,Computer Science,"['edge computing', 'artificial intelligence']","['web and mobile development', 'artificial intelligence and machine learning']","['R', 'Rust']",['Ionic'],"['TensorFlow', 'Git', 'Jenkins']","['Ansible', 'TensorFlow', 'PyTorch', 'GitLab']",1 month,Contributed to XYZ project,Awarded XYZ in Computer Science
James Mckenzie,Electrical Engineering,['machine learning'],['game development'],"['JavaScript', 'Rust']","['Ember.js', 'React Native']","['Docker', 'TensorFlow', 'PostgreSQL']","['PostgreSQL', 'TensorFlow', 'MySQL', 'GitHub']",1 month,Contributed to XYZ project,No achievements
Robert Brown,Civil Engineering,"['human-computer interaction', 'natural language processing']","['human-computer interaction', 'bioinformatics']","['Rust', 'PHP']","['Ionic', 'NestJS', 'React', 'Laravel']","['Ansible', 'PyTorch', 'Elasticsearch']","['PyTorch', 'TensorFlow']",2 months,Contributed to XYZ project,No achievements
Jennifer Roberts,Mechanical Engineering,"['autonomous systems', 'natural language processing']",['blockchain'],"['Swift', 'Python', 'Objective-C']",['Django'],"['MySQL', 'MongoDB', 'TensorFlow', 'GitLab']","['AWS', 'MySQL']",2 months,Contributed to XYZ project,Awarded XYZ in Mechanical Engineering
Heidi Alvarez,Computer Science,['bioinformatics'],"['blockchain', 'human-computer interaction', 'web and mobile development']","['TypeScript', 'Lua', 'Java']",['Meteor'],"['Kubernetes', 'Ansible']","['TensorFlow', 'Keras', 'Jenkins', 'PyTorch']",1 month,Contributed to XYZ project,No achievements
Thomas Hall,Electronics and Communication,"['machine learning', 'parallel computing', 'human-computer interaction']","['artificial intelligence and machine learning', 'web and mobile development']","['Java', 'JavaScript', 'Objective-C', 'Python']",['React'],['Keras'],"['Azure', 'Google Cloud']",2 months,Contributed to XYZ project,No achievements
Todd Madden,Electronics and Communication,['big data'],"['human-computer interaction', 'cybersecurity', 'quantum computing']","['Scala', 'Swift', 'Java']","['Nuxt.js', 'Express.js']","['MongoDB', 'GitHub', 'MySQL', 'GitLab']","['MongoDB', 'MySQL', 'TensorFlow']",1 week,Contributed to XYZ project,No achievements
Ryan Meyers,Information Technology,"['data visualization', 'computer vision']","['human-computer interaction', 'robotics']",['Shell Scripting'],"['Flutter', 'React Native', 'Nuxt.js']",['PostgreSQL'],['Ansible'],1 week,No open-source contribution,Awarded XYZ in Information Technology
Patrick Wilson,Electrical Engineering,"['embedded systems', 'AR/VR', 'artificial intelligence']","['human-computer interaction', 'artificial intelligence and machine learning', 'game development']",['Ruby'],"['Flask', 'Blitz.js', 'Laravel', 'Svelte']","['TensorFlow', 'Google Cloud', 'MongoDB']","['Keras', 'TensorFlow', 'PyTorch']",1 month,Contributed to XYZ project,No achievements
Peter Gonzales,Computer Science,"['system architecture', 'human-computer interaction']","['cybersecurity', 'data science and analytics', 'web and mobile development']","['Scala', 'Objective-C', 'Java', 'Shell Scripting', 'Dart']","['Nuxt.js', 'Ember.js', 'Ionic']",['Elasticsearch'],['Redis'],2 months,Contributed to XYZ project,No achievements
Christopher Reynolds,Mechanical Engineering,"['business intelligence', 'computational biology', 'data visualization']","['bioinformatics', 'artificial intelligence and machine learning']","['TypeScript', 'C']","['NestJS', 'Laravel', 'Ruby on Rails', 'Meteor']",['Google Cloud'],['TensorFlow'],1 month,No open-source contribution,No achievements
Elizabeth Clarke,Information Technology,"['DevOps', 'embedded systems', 'data visualization']","['robotics', 'artificial intelligence and machine learning', 'web and mobile development']","['Python', 'Ruby', 'Java', 'Lua', 'Objective-C']",['Express.js'],['TensorFlow'],['Redis'],1 month,Contributed to XYZ project,No achievements
Jason Williams,Information Technology,['cloud security'],"['game development', 'human-computer interaction']","['Dart', 'Scala', 'MATLAB']","['Flask', 'Svelte', 'Ember.js']","['Google Cloud', 'Redis', 'Git', 'Keras']","['Git', 'Azure', 'Ansible', 'TensorFlow']",1 week,No open-source contribution,No achievements
Mark Davis,Biotechnology,['data science'],"['data science and analytics', 'blockchain', 'quantum computing']",['Kotlin'],"['Ember.js', 'React', 'Next.js', 'Flutter']","['TensorFlow', 'TensorFlow']","['Ansible', 'MySQL', 'Azure', 'MongoDB']",2 months,No open-source contribution,No achievements
Katherine Becker,Mechanical Engineering,"['AR/VR', 'computer architecture']","['robotics', 'human-computer interaction', 'cybersecurity']",['Ruby'],['Blitz.js'],"['GitHub', 'Git']",['GitLab'],1 week,No open-source contribution,No achievements
Keith Meza,Mechanical Engineering,['game development'],"['artificial intelligence and machine learning', 'cybersecurity']",['Rust'],"['Flutter', 'React Native']","['MongoDB', 'Redis', 'TensorFlow', 'Azure']","['Azure', 'Jenkins', 'Kubernetes']",1 week,No open-source contribution,No achievements
Marcus Martinez,Biotechnology,"['algorithms', 'robotics']",['IoT'],['Scala'],['Svelte'],"['Git', 'Ansible']","['TensorFlow', 'MongoDB']",1 month,Contributed to XYZ project,No achievements
Daniel Jenkins,Computer Science,['DevOps'],"['quantum computing', 'game development', 'cybersecurity']","['Shell Scripting', 'Kotlin']","['Django', 'Spring Boot', 'Meteor']","['Azure', 'Jenkins']","['GitHub', 'TensorFlow', 'Git', 'Jenkins']",1 week,Contributed to XYZ project,No achievements
Mary Hunt,Mechanical Engineering,"['computer architecture', 'data engineering', 'big data']",['IoT'],"['Ruby', 'TypeScript', 'C', 'JavaScript']","['Ruby on Rails', 'Nuxt.js', 'Ember.js', 'Next.js']","['Redis', 'TensorFlow']","['Git', 'MongoDB']",1 month,No open-source contribution,No achievements
Marcus Cox,Mechanical Engineering,"['computer architecture', 'artificial intelligence', 'human-computer interaction']","['human-computer interaction', 'bioinformatics', 'robotics']","['MATLAB', 'TypeScript']",['Nuxt.js'],"['Elasticsearch', 'TensorFlow']","['GitLab', 'Docker']",1 week,No open-source contribution,No achievements
Roger Jones,Computer Science,"['web app development', 'system architecture']",['human-computer interaction'],"['Scala', 'Swift']","['React Native', 'Django', 'Flutter']","['Docker', 'Google Cloud']",['Elasticsearch'],1 week,Contributed to XYZ project,No achievements
Elizabeth Rich,Information Technology,['data science'],['human-computer interaction'],"['C++', 'R']","['Nuxt.js', 'Ember.js', 'Ruby on Rails', 'Next.js']","['Redis', 'TensorFlow', 'Google Cloud']","['Redis', 'Kubernetes']",1 week,Contributed to XYZ project,Awarded XYZ in Information Technology
Gary Ortiz,Information Technology,"['computer architecture', 'mobile app development', 'generative AI']","['bioinformatics', 'quantum computing', 'data science and analytics']","['Ruby', 'Kotlin']","['Express.js', 'Flask', 'Angular']","['TensorFlow', 'TensorFlow', 'Redis', 'Docker']",['GitLab'],1 month,No open-source contribution,No achievements
Elizabeth Chapman,Electrical Engineering,"['web app development', 'ethical hacking']","['game development', 'robotics', 'IoT']","['TypeScript', 'Dart']","['Spring Boot', 'Svelte', 'Next.js', 'Vue.js']","['Azure', 'Ansible', 'AWS']","['Redis', 'GitHub', 'MySQL', 'TensorFlow']",2 months,Contributed to XYZ project,No achievements
Kaitlin Garcia,Electronics and Communication,['blockchain'],"['cybersecurity', 'data science and analytics', 'artificial intelligence and machine learning']","['Ruby', 'Java', 'MATLAB']","['Vue.js', 'Next.js', 'Spring Boot', 'Django']","['GitHub', 'AWS', 'GitLab']",['Jenkins'],2 months,No open-source contribution,No achievements
